"sample"	"strain"	"median"
"T12_AB128_I1_REP1"	"2494"	0
"T12_AB128_I1_REP1"	"2159"	0
"T12_AB128_I1_REP1"	"2792"	0
"T12_AB128_I1_REP1"	"2443"	8
"T12_AB128_I1_REP1"	"1292"	1
"T12_AB128_I1_REP1"	"3172"	0
"T12_AB128_I1_REP1"	"1988"	0
"T12_AB128_I1_REP1"	"2659"	0
"T12_AB128_I1_REP1"	"1279"	0
"T12_AB128_I1_REP1"	"1992"	0
"T12_AB128_I1_REP1"	"1966"	0
"T12_AB128_I1_REP1"	"97"	0
"T12_AB128_I1_REP1"	"2164"	0
"T12_AB128_I1_REP1"	"1896"	13
"T12_AB128_I1_REP1"	"105"	5
"T12_AB128_I1_REP1"	"1874"	3
"T12_AB128_I1_REP1"	"1923"	2
"T12_AB128_I1_REP1"	"1287"	141
"T12_AB128_I1_REP1"	"3031"	4
"T12_AB128_I1_REP1"	"216"	0
"T12_AB128_I1_REP1"	"1299"	0
"T12_AB128_I1_REP1"	"1977"	187
"T12_AB128_I1_REP1"	"2160"	3
"T12_AB128_I1_REP1"	"3237"	0
"T12_AB128_I1_REP1"	"403"	2
"T12_AB128_I1_REP1"	"2467"	0
"T12_AB128_I1_REP1"	"262"	0
"T12_AB128_I1_REP1"	"1875"	151
"T12_AB128_I1_REP1"	"1842"	4
"T12_AB128_I1_REP1"	"2948"	0
"T12_AB128_I1_REP2"	"RP4"	0
"T12_AB128_I1_REP2"	"1972"	326
"T12_AB128_I1_REP2"	"6"	0
"T12_AB128_I1_REP2"	"K12"	0
"T12_AB128_I1_REP2"	"2494"	0
"T12_AB128_I1_REP2"	"2159"	0
"T12_AB128_I1_REP2"	"2792"	0
"T12_AB128_I1_REP2"	"2443"	51
"T12_AB128_I1_REP2"	"1292"	6
"T12_AB128_I1_REP2"	"3172"	6
"T12_AB128_I1_REP2"	"1988"	0
"T12_AB128_I1_REP2"	"2659"	0
"T12_AB128_I1_REP2"	"1279"	0
"T12_AB128_I1_REP2"	"1992"	1
"T12_AB128_I1_REP2"	"1966"	0
"T12_AB128_I1_REP2"	"97"	0
"T12_AB128_I1_REP2"	"2164"	0
"T12_AB128_I1_REP2"	"1896"	46
"T12_AB128_I1_REP2"	"105"	22
"T12_AB128_I1_REP2"	"1874"	8
"T12_AB128_I1_REP2"	"1923"	14
"T12_AB128_I1_REP2"	"1287"	423
"T12_AB128_I1_REP2"	"3031"	12
"T12_AB128_I1_REP2"	"216"	2
"T12_AB128_I1_REP2"	"1299"	0
"T12_AB128_I1_REP2"	"1977"	596
"T12_AB128_I1_REP2"	"2160"	9
"T12_AB128_I1_REP2"	"3237"	0
"T12_AB128_I1_REP2"	"403"	24
"T12_AB128_I1_REP2"	"2467"	0
"T12_AB128_I1_REP2"	"262"	0
"T12_AB128_I1_REP2"	"1875"	462
"T12_AB128_I1_REP2"	"1842"	15
"T12_AB128_I1_REP2"	"2948"	0
"T12_AB128_I1_REP3"	"RP4"	0
"T12_AB128_I1_REP3"	"1972"	450
"T12_AB128_I1_REP3"	"6"	2
"T12_AB128_I1_REP3"	"K12"	0
"T12_AB128_I1_REP3"	"2494"	0
"T12_AB128_I1_REP3"	"2159"	0
"T12_AB128_I1_REP3"	"2792"	0
"T12_AB128_I1_REP3"	"2443"	38
"T12_AB128_I1_REP3"	"1292"	9
"T12_AB128_I1_REP3"	"3172"	7
"T12_AB128_I1_REP3"	"1988"	0
"T12_AB128_I1_REP3"	"2659"	0
"T12_AB128_I1_REP3"	"1279"	0
"T12_AB128_I1_REP3"	"1992"	5
"T12_AB128_I1_REP3"	"1966"	0
"T12_AB128_I1_REP3"	"97"	0
"T12_AB128_I1_REP3"	"2164"	0
"T12_AB128_I1_REP3"	"1896"	55
"T12_AB128_I1_REP3"	"105"	23
"T12_AB128_I1_REP3"	"1874"	9
"T12_AB128_I1_REP3"	"1923"	13
"T12_AB128_I1_REP3"	"1287"	411
"T12_AB128_I1_REP3"	"3031"	16
"T12_AB128_I1_REP3"	"216"	2
"T12_AB128_I1_REP3"	"1299"	0
"T12_AB128_I1_REP3"	"1977"	575
"T12_AB128_I1_REP3"	"2160"	12
"T12_AB128_I1_REP3"	"3237"	0
"T12_AB128_I1_REP3"	"403"	18
"T12_AB128_I1_REP3"	"2467"	0
"T12_AB128_I1_REP3"	"262"	0
"T12_AB128_I1_REP3"	"1875"	532
"T12_AB128_I1_REP3"	"1842"	17
"T12_AB128_I1_REP3"	"2948"	0
"T12_AB16_I0_REP1"	"RP4"	0
"T12_AB16_I0_REP1"	"1972"	344
"T12_AB16_I0_REP1"	"6"	0
"T12_AB16_I0_REP1"	"K12"	0
"T12_AB16_I0_REP1"	"2494"	0
"T12_AB16_I0_REP1"	"2159"	0
"T12_AB16_I0_REP1"	"2792"	0
"T12_AB16_I0_REP1"	"2443"	0
"T12_AB16_I0_REP1"	"1292"	0
"T12_AB16_I0_REP1"	"3172"	6
"T12_AB16_I0_REP1"	"1988"	0
"T12_AB16_I0_REP1"	"2659"	0
"T12_AB16_I0_REP1"	"1279"	0
"T12_AB16_I0_REP1"	"1992"	1
"T12_AB16_I0_REP1"	"1966"	0
"T12_AB16_I0_REP1"	"97"	0
"T12_AB16_I0_REP1"	"2164"	0
"T12_AB16_I0_REP1"	"1896"	36
"T12_AB16_I0_REP1"	"105"	17
"T12_AB16_I0_REP1"	"1874"	13
"T12_AB16_I0_REP1"	"1923"	4
"T12_AB16_I0_REP1"	"1287"	295
"T12_AB16_I0_REP1"	"3031"	11
"T12_AB16_I0_REP1"	"216"	0
"T12_AB16_I0_REP1"	"1299"	0
"T12_AB16_I0_REP1"	"1977"	561
"T12_AB16_I0_REP1"	"2160"	12
"T12_AB16_I0_REP1"	"3237"	0
"T12_AB16_I0_REP1"	"403"	6
"T12_AB16_I0_REP1"	"2467"	0
"T12_AB16_I0_REP1"	"262"	0
"T12_AB16_I0_REP1"	"1875"	369
"T12_AB16_I0_REP1"	"1842"	0
"T12_AB16_I0_REP1"	"2948"	0
"T12_AB16_I0_REP2"	"RP4"	0
"T12_AB16_I0_REP2"	"1972"	262
"T12_AB16_I0_REP2"	"6"	0
"T12_AB16_I0_REP2"	"K12"	0
"T12_AB16_I0_REP2"	"2494"	0
"T12_AB16_I0_REP2"	"2159"	0
"T12_AB16_I0_REP2"	"2792"	0
"T12_AB16_I0_REP2"	"2443"	0
"T12_AB16_I0_REP2"	"1292"	0
"T12_AB16_I0_REP2"	"3172"	5
"T12_AB16_I0_REP2"	"1988"	0
